net,length_um
net1102,845.34
net1695,845.19
mgmt_buffers.mprj_dat_o_core\[4\],843.97
soc.core.bus_dat_r\[13\],843.78
net687,842.95
mgmt_buffers.la_data_out_core\[7\],842.1
soc.core.VexRiscv.decode_to_execute_IS_CSR,842
net718,841.98
net1376,839.91
soc.core.VexRiscv.externalInterruptArray_regNext\[0\],839.73
net591,838.52
net1763,838.18
soc.core.hk_dat_i\[7\],837.06
mgmt_buffers.la_data_in_core\[5\],836.7
soc.core.hk_dat_i\[4\],836.5
net1126,836.3
net1536,835.47
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[1\],835
net1078,834.76
net1405,834.3
_09901_,834.19
net1943,833.94
net1110,832.74
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[6\],832.03
soc.core.la_oe_storage\[15\],830.87
mgmt_io_out_hk\[17\],830.39
net1059,829.67
net1011,829.38
net935,829.14
net863,829.08
net544,829.06
net605,828.84
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[7\],828.68
net553,828.01
gpio_control_in_2\[5\].resetn,827.92
net1122,826.59
net49,826.52
net601,823.53
soc.core.la_out_storage\[13\],823.03
net462,822.69
mgmt_buffers.mprj_dat_o_core\[5\],822.01
net1566,821.82
net1053,821.57
soc.core.bus_dat_r\[12\],821.38
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[20\],821.24
net607,820.63
mgmt_buffers.la_data_out_core\[15\],819.85
soc.core.hk_dat_i\[22\],819.75
soc.core.VexRiscv.decode_to_execute_RS2\[18\],819.35
soc.core.la_oe_storage\[14\],818.89
user_io_out\[35\],818.17
net942,817.11
gpio_control_in_1a\[4\].shift_register\[9\],816.58
soc.core.hk_dat_i\[6\],814.66
net1345,814.12
soc.core.hk_dat_i\[15\],812.52
soc.core.la_out_storage\[14\],812.15
net649,811.24
soc.core.VexRiscv.decode_to_execute_RS2\[15\],811.03
net1474,810.98
soc.core.VexRiscv.decode_to_execute_RS2\[13\],810.52
net1518,810.25
net1653,810.23
net1088,810.11
net701,808.66
net1113,808
soc.core.mprj_wb_iena_storage,807.01
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[27\],806
soc.core.hk_dat_i\[23\],805.75
soc.core.hk_dat_i\[31\],805.14
net903,805.03
soc.core.la_out_storage\[15\],803.19
_10300_,803.06
net1454,802.47
gpio_buf_mgmt_io_out_buf\[8\],801.83
net1751,799.69
net1488,799.19
net1330,798.89
mgmt_buffers.la_data_in_core\[6\],798.42
_07242_,798.24
_09658_,798.15
net557,798.1
net645,797.93
net1616,796.47
_05916_,796.22
net437,793.56
net975,793.01
mgmt_buffers.la_data_in_core\[11\],792.82
net1777,792.65
mgmt_io_out_hk\[5\],792.31
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[27\],791.47
net1105,791.27
net25,790.92
net1094,789.77
net1346,789.51
net489,787.41
mgmt_buffers.la_data_out_core\[16\],786.39
net617,784.83
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[4\],784.76
net710,784.71
net1524,784.56
net50,784.42
net961,784.12
mgmt_buffers.la_oenb_core\[6\],783.45
net713,783.33
net1048,782.97
mgmt_buffers.mprj_adr_o_core\[29\],782.89
_12957_,782.85
net1107,782.37
net1446,782.37
soc.core.hk_dat_i\[9\],782.33
soc.core.bus_dat_r\[20\],781.16
soc.core.VexRiscv.decode_to_execute_RS2\[25\],780.62
mgmt_buffers.la_data_in_core\[3\],780.5
net1128,780.05
net881,779.99
net931,779.64
net1076,779.59
net1054,779.08
net603,778.13
net1767,777.85
net1056,776.86
mgmt_buffers.mprj_adr_o_core\[4\],776.82
net639,776.44
net714,776.23
net666,775.46
_05465_,775.44
net1101,774.11
mgmt_buffers.la_data_out_core\[14\],774.07
net1326,774.06
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[13\],773.53
net652,773.49
net573,771.57
net869,769.59
net691,769.38
net1480,769.27
mgmt_buffers.mprj_dat_o_core\[30\],769.05
net1773,768.89
_15599_,768.86
net1099,767.93
mgmt_buffers.mprj_adr_o_core\[15\],767.25
net2,767.16
net1546,766.63
net1884,766.13
net1192,766.05
net549,765.51
net1418,765.5
soc.core.VexRiscv.decode_to_execute_RS2\[26\],764.65
_10038_,764.63
net472,764.23
net48,763.7
net1771,763.7
net683,763.41
net1409,762.95
net418,762.32
net587,761.59
net1527,761.59
_05917_,761.53
net1083,760.14
net595,759.59
soc.core.la_oe_storage\[62\],759.38
net779,759.32
soc.core.hk_dat_i\[28\],759.22
_05789_,757.38
net944,756.68
net571,756.52
soc.core.hk_dat_i\[27\],756.47
net667,756.17
net647,755.21
net1317,754.81
net1369,754.74
net551,754.34
soc.core.bus_dat_r\[23\],754.18
net1452,753.97
net1130,753.65
net1103,751.99
net1406,750.66
_09925_,750.04
net1548,749.99
soc.core.bus_dat_r\[5\],749.75
net805,747.9
net576,746.06
mgmt_buffers.mprj_dat_i_user\[27\],745.83
net1478,745.78
net1526,745.67
net1453,744.98
soc.core.la_oe_storage\[16\],743.41
mgmt_buffers.la_data_in_core\[7\],743.03
soc.core.VexRiscv.decode_to_execute_RS2\[29\],742.95
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[6\],742.36
_09977_,741.85
soc.core.VexRiscv.decode_to_execute_RS2\[10\],741.23
